work overload,No/less support from clinicians,Poor salary,Expected to work hard and give good results,Constant support form clinicians,Increase salaries or pay better and relative to the workload,To achieve high position and personal development (lab director or chief technologist)
Time spent at work,Money for new quipment,Low salary,Stress,More staff,more off time,Best success rate to promote our clinic
Workload,Underpaid,Underpayment,Lack of recognition,Increase number of embryologists per lab,Pay,Help struggling couples to have family of their own.
Overworked,Stressful,Working on weekends,Mainly women,Reduce weekend work,Less admin work,N/A
Oocyte quality,Machine fixation,Embryo quality,Pregnancy rate,Control case number by day,Checking working machine regularly,Good embryo quality
"hard cases; bad sperm, fragile oocytes",verification,long working hours,stress,organisation,"good comminication with whole team; doctors, nurses, lab technicians",create a routine for personilized treatment for patients
We are not being paid fairly (it's a specialized field),Subjectivity when it comes to selecting/grading embryos,Grading subjectivity,Workplace stress,More recognition and a better payscale (minimally equivalent to the nurses),More clinical involvement when it comes to deciding a patient's cycle/decision,Laboratory manager/director
Biopsy,Icsi,People,Dinâmic,Psycology,Dinâmic group,becoming an embryologist always better than before
Poor pay; lack of transparency of salary in the private sector,Burnout; poor health from RSI,More competitive salary elsewhere in industry,"Lack of benefits, autonomy or support",Improved pay and transparency of salaries,Improved support in the workplace for implementing new technologies that support workflow,Manager
time management with patients/doctors,including embryologists more in patient-treatment,no mistakes are allowed,a lot of responsibility,no weekend work (better timing),knowledge that fertilization failure is not the fault of the embryologist,Lab-Leader
Pression,Rare free days,Recognition,Salary,Base and high salary,Free weekends,Be a recognized embryologist in the world
Daily work hours and weekends,Salary,Higher recognition,Higher salaries,Higher salaries,Flexibility In the laboratory,Higher salary
Employees shortage,Untrained staff,Oocyte quality,Implantation even after everything is good,Should be adequate staff,Time flexibility,To find answers of failed implantation
Stress induced work environment,No support to access clinical embryology knowledge,Lack of organized regulations community,AI,Union for embryologist,Increase scientific support through worksfop and continuous education,Partnership in ivf center
Recognition and sallary,Supply of devices and consumables,Training,Recognition and sallary,Sponsoring for attending events,Sponsoring for training,Highest success rates
make no mistake,manage time properly,professional title evaluation,paper publishing,no,no,lab director
space,workload,scientific research,workload,more employee,more space,chief
space,workload,scientific research,workload,more employee,more space,chief embryologist
Never ever make a mistake,None,None,None,Good SOP,Good workmates,"Hard to say , make progress day by day"
Workload,Understaff,Difficult to find a job (in my country),Salary,more training options,support by employees,still figuring out
BURN OUT,Doctors always blame embryologist,NO WORK-LIFE BALANCE,stress,Hire staff according to workload,Give embryologists space to work,To be a Quality Manager and audit labs
Repeated manual processes,Long work hours,Sustaining interest in younger gen,Lack of salary competiveness,Automate repeated processes,Pool resources for manpower,To make a change in the field before i retire
emotional stress,patients/doctors demands,emotional stress,afraid to make a mistake,emotional support,financial benefits,lab director
A good salary,Overtime in the working day,"Undervalued profession, regarding the responsibility it implies.",Few job offers in your country.,establish a real commitment and communication between doctors and embryologists in the workplace.,involving the embryologist every day to participate in more activities outside the in vitro laboratory,Train more embryologists.
Heavy workload,Stres,Traveling  problems,Mental tired,Well programed Work flow,Enough personel in IVF lab,Retired
Scientific Recognition,Pay and Conditions,Career Progression,Management Experience,More Staff,More Junior Staff,Lab Manager
Little black of communication with clinical team,Working hours,Time at workplace,Little stress for achieving better outcome,Good communication with team,Fixed working hours and open discussion,To give my best
lack of staff,regulatory burden,lack of staff,regulatory burden,more staff,reduce regulation,achieved it
Automaticity,variable & busy workload,lack of staff,lack of recognition,better training with more places available,better control of cycle numbers,Lab manager
Financial Restrictions,Legal compliance,Inconsistency in IVF cycle funding,Regulatory oversight,More consistent funding for IVF,Better career progression,Senior Embryologist with clinical research links
Inconsistent workload,Burnout,Loss of historical knowledge,Shortage of skill,Consistent workload,Reduced administrative burden,Career goal achieved.
Stress,trouble shoot,stress,results,diluting the work load,Stress relief,"Academic excellence, lead role, research"
TRUST,Long work routines,Sacrifice,Family,that we can attend more congresses and with help,improve salary,"improve every day, new techniques and equipment so that our work is optimal"
Work overload,Infrastructure,Work overload,Stress,More personal (embryologist),Better organization in turns,Educate more embryologist
Staffing levels,Dating equipment and Trust refuses to invest in renewal,Lack of time/support for career progression,Lack of time/support/funding for innovation and research,Getting the right balance of cycles to staff,Support for CPD/Innovation/Research,Lab director
Lack of a voice,Decreasing numbers of NHS controlled IVF units,Trying to stay scientific whilst moving to being glorified technicians,Justifying why MScs are needed in a world of increased commercialisation of consumables and equipment - they just follow protocols (but you need a protocol for everything),STaff labs to allow research and development,ENsure lab directors are scientists with PhD and actually have a research background,To retire comfortably !!!!!
Poor management,Stress caused by workload,Poor management,Bullying and nepotism,National pay and conditions standards,Doctor owned clinics care more about patients and staff. They should be supported more,Retirement
Staff retention / salary,Experienced staff recruitment,Not enough National STP places per year,Overburdened with administration due to HFEA requirements,Better work/life balance,Hiring lab Admin support,To also run a Diagnostic Andrology service
MULTITASKING,WORK 365 DAYS/YEAR,MULTITASKING,WORK 365 DAYS/YEAR,MORE STAFF,COMPULSIVE PAUSE OF WORK 3 TIMES A YEAR,TO BECOME BETTER AS TIME GOES BY
Understaffing,Lack of autonomy,Lack of training to get people into the profession,Low salaries,Higher pay,More staff,To help as many patients as possible by being the best scientist
Little or no day off alloted,Employer doubting one's working ability,Unfavourable working conditions,Short-staffed,Allot days for the embryologist to rest,Batch cycles as opposed to daily/weekly treatments,To help couples who struggle with infertility become parents and bring joy into their homes
Each and every case of ours is different it itself is a big challenge.,Lqck of Appreciation,We are doing great work but still our work is not appreciated.  All credit goes to our clinicians,Our job is not recognized,It's high time we should work together to get a recognition,We should also have a registration no.,To clear ESHRE & get a position in academic .   I need a proper guidance
"pregnancy status- if negative, we are blamed",embryo loading and retention- blame game,handling liquid nitrogen,consumable shortage,flexible working hours- as we work on weekends,communication,To help the infertile couple achieve their dreams.
Lack of staff,Burnout derived from lack of staff,Stress,Burnout,"It really comes down to the Director of the center, but to hire more staff ",Provide flexible schedules for embryologist as well as a planned out vacation system for lab staff,Become IVF lab director and author publications
Work pressures,Time constraints,NA,NA,NA,NA,To retire in next few years
stress,breaking bad news,AI replacing embryologists (?),-,state of the art lab,limited admin work,Progress to Consultant Embryologist
Working for extended periods without a break,Mental health issues due to pressures of the job,Breaking bad news to patients,"Lack of embryologists, therefore labs often understaffed",Regular Breaks,Access to mental health services,I am not sure at the moment - I am happy to be a clinical embryologist and currently do not wish to have a more managerial role.
Burnout,Lack of New Technologies,Burnout,Slow adaptation to new technologies,More embryologist,Better technology,To become a Chief Scientific Director of a chain
Excessive overtime,Career progression,Overworked,Underpaid,More embryologists,Better pay,Be the best I can at the job I do to provide patients with best possible care
Stress (Burn Out),Extreme Attention to detail 24/7,Expected long hours and overtime,Limited choice of annual leave,Working rota with different shift starts,Better salary/annual leave to compensate the long hours,Not sure - probably won’t be able to stay as an embryologist - too much daily stress
Keeping up with technological advancements,High stakes and serious consequences of mistakes,Providing a standardized level of care.,Keeping up with changing laws,More staffing for spreading on-call responsibilities,More communication with regular lab/MDT meetings,To be registered embryologist in large clinic and be involved in regular research projects alongside.
Bad management,Financial restrictions for new equipment and staffing,Funding restrictions,Career progression opportunities,Looking after the mental health of staff (management is key to establish this),Allow flexibility and support for career progression,Do a PhD in clinical embryology
huge responsibility,work in team,stress,new equipment constantly,more paid days off,funding for latest tachnologies,senior embryologist
high workload,stress,clinician dominance,ethical problems,less overtime,more meetings with clinicians,-
Burn-out,poor leadership,low compensation,burn-out,"better compensation in terms of salary, profit sharing","people management and leadership trainings for the laboratory supervisors, managers and director",attain my PhD. become a consultant Reproductive scientist. dive into teaching. establish an embryology training center.
Negative result blame comes on embryologist,Less workforce,No family time,Bachache,Devide work load,Not go for all icsi,To help the needy couple
maintenance of equipment,team working,age of patients especially women,moral issues,training,workshop education,to be team leader of big lab
Communication with physicians,Funding for equipement,Not being equal to physicians in status,Education for na embryologist od not standardised,More money for equipement,Higher salary,To ne the best I can be as a expert
documentation,ethical practice,ethical practice,success rate,follow SOP,HANDS ON PRACTICE,TO START OWN FERTILITY CLINIC
High workload,Stress,Little professional recognition,Understaffing,consideration as clinical scientists - same level as medical doctors,professional certification at a post graduate level,"To continue to give best possible care to patients, whilst supporting more junior embryologists to grow professionally"
Underpaid,Overworked,Burn out,Low pay,More staff,Less working hours,Start my own ivf laboratory
Workload,Salary,Workload,Salary,More personal,Better Salary,Be better embryologist
it's time sensitive job,working weekends,working weekends,not paid enough,better salaries,more training,better work/life balance
Work load/ complexity of cases,Managing patient expectations,Lack of understanding of role,Pressure to perform,Realistic cycle numbers for skill mix in lab,Dedicated development time,To do the best for my patients
Shortage of staff: lack of assistance,No support from management,Overtime,No recognition,Pay accordingly by hour,Technical assistance,PhD with considerable publications
Time sensitivity,Multi-tasking,Recognition,Compensation,Each lab should have a dedicated staff to do admin work,The team members should work closely and not compete with each other.,Get recognized for my work.
Too much workload,Lack of lab organization,Lack of structured training,Too much workload,Have a structured training program to build confidence,Enough staff to deal with the workload,To become senior
Staff shortage,Long working hours,Long working hours,Toxic work environment,Improve the payscale,Address leadership issues and open new jobs,Chief senior embryologist
Overworked,Underpaid,Loosing embryologists,Being pushed for higher numbers and same staff,More embryologists,Less cycles at a time,"None, just hope my neck and thumb hold out"
Workload and recognition,Salary,Recognition,Salary,Respect,Acknowledgement,To help people become parents without exploitation and promote fertility awareness
"Colleagues bad  behavior,  mental harassment","Unnecessary shouting,  blame game, no proper co ordination. Colleagues Buttering to doctors ",Getting chance to get the work.,Misbehaved from the senior,Centrally protocol about embryologist learning process,Fee structure depends on year of work experience,To become pioneer in the field of ART
The increased biopsie cases,To keep updated with new technologies,The many hours wey must spend at the lab ando our prívate life,Must work on hollydays and weekends,To shorten the working day,More academic activities,To retire sooner.....i'm exhausted
Burnout/overtime,Salary's,Training and certification,Salary,Minimum staff numbers,Accreditation,Training and mentoring
Salary designation,Vacation,Vacation,Appreciation from doctor,Low cost MSc embryology course,Salary package for junior Embryologist,To became scientist
Respect from others medical specialities,Learning,Training,Respect of the speciality,Giving chance to north african embryologists to acces to free learning,provide practical training and internships at symbolic prices,be able to practice embryology freely and with respect in my country
Less salary,Poor Lab equipments,Biotechnology is not accepted by Arab countries. Even with good experience,No licensing or certification body for embryologists in india.,Should conduct licences exam for practising ARt,Workshops on advanced technologies should be easily available.,Aiming ESHRE certification for senior embryologist
Long hours,Lack of pay,Lack of new recruits,Low pay for hours worked,Higher pay,More people,Retirement
Physical stress,Prioritization of tasks,Job opportunities,Little time for knowledge enhancement,Organize tasks in the lab,Proper equipment for good postures,ESHRE certification with a lot of laboratory skills and maybe combine another field(bioethics) for helping my own country's ivf regulations. I would also love to conduct a research at some point of my career.
Overworked,Understaffed,Overworked,Understaffed,Rotate daily duties,Use Per Diem help when needed,Move to an IVF Industry
To be recognized,Have good remuneration,Make no mistake,Make Quick decisions,Flexible schedule,Earning per production,Good results as director lab
Short staffing,High pressure job,No clear career ladder,Poor salaries for the profession,Adequate staff,Adequate pay and clear career development pathway,Publish research and improve efficiency and knowledge of ART
Data report,Data analysis,Work load,Recognition,Efficient system for data collecting and analysis,Automation,Being a lab director of the chain
Maintaining sterile conditions,Ethical concerns,working overtime,professional responsibility for errors,proper work schedule,overpay for overtime,To become a good embryologist
"I don't know why it's so hard in India , here doctor don't accept the case of poor quality eggs., They want 100% fertilization in that case",Always bullied by seniors,Lots of paper work,"Hard to balance work, studying and personal life ",Doctor or clinicians should be properly trained for lab prospects,Working hours & case per day,I want to pursue my career in  research and development area in field of genetic & human reproductive biology
Time Schedule,Work-life Imbalance,Stress,Low self-esteem,Motivation,Regular Hands-on Practice,To Become a skilled Embryologist
low budget,lack of management,results,the control of hospital variants,flexible hours,incentive to improvement,do all the techniques with excellence and make dreams come true for people who don't have the conditions
Pressure to perform perfectly on both standard and sensitive cases,Interdepartmental communications,"Resource consistency (even though good to be adaptable to varying tools and disposabless, but equipment inconsistency sensitive to good success rates) ) ",Performance expectations and mismanaged patient expectations on cycle outcomes,Decreased micromanaging of laboratory performance standards from managerial heads,Skills labs presented as an exchange program between clinics/laboratories (without any competitive subjectivity but rather inspired by a greater unity to enhance any hands-on practice and skills for the sake of the patients),"To achieve optimal KPIs in my performance, to be a key contributor to any unit and its patient care, to further my academic knowledge and scientific understandings of ART, and to achieve healthy work-life balance. "
Burnout,Long hours and extended shifts (7-14days),Training opportunities programs,Quality of training,Better structured working hours/rotations with more leave,Better renumeration,To improve my skills and knowledge to be the best embryologist I can be.
Work time,Sallary,Work time,Salary,No ideia,No ideia,Babies visits in our clinic
Lack of recognition,Poor salary growth,Lack of standardised practise,Clinicians ego,Flexible hours,Administrative staff assistance,Lab director
"Wagner, remuneration",Hours worked,"Wagner, remuneration",Hours worked,Professional valoriation,Work environment,Do a master's degree. Take a course abroad.
Good payment,Burn out,Burn out,Better payment,Increase the number of Embryologist,Better rotation,I reached my goals! Now keep updated
Correct staff number per procedures,Many hours working non stop,Fair salary,No weekend and holidays,Increase salaries,Hire more people/embryologist,Be able to quit embryology and have more life quality
Quality control engagment for all in lab and clinic,Have a higher position,Be valued,Workshop at staff limit,More autonomy,Proficiency tests,Have my own center and research
New technologies,Team work,Excessive work,A lot of responsability,Lower worload,A  secretary to help in paper work,Lab Director
Salary,Working hours,Recognizement,Respect,Higher salaries,Respect,Earn more money
Payment,Hours of rotine,Stress,Carrer,More staff,Increase salary,Be a reference in my city
Lack of recognition,Overworked and lack of time off,Low pay compared to skill level,Bad employers,Shorter hours and more paid time off,Legal protection from employers,Senior Embryologist
ICSI,PGTA,"HIGHER Academic , ",Clinical research,Honest,Hard work,Looking clinical embryology
less no. of cycles,fear of making mistakes,as a junior hard to get oppotunity to work,social networking,use of top standard consumbles and media,work flexibility,want to enchance my knowledge and practicals skills
Paper work burden,Updating Advance technology,Language barrier,Not having advance methods,Up to date as per the ART guidelines,Being follows new technologists,Become more knowledgeable in embryology and being an expert Embryologists
Less staffing,More working hours,Work life balance,Unhealthy schedules,To increase staffing so sufficient working hours,To promote better health care foe embryologists as they will be too stressed of work,PhD
Work condition,Stress,Improvement of skills,Good planning,Enough staff,Team work,To develop my skills
in-adequate pay,toxic freelancing senior embryologist,Nothing if you really love the profession,None,provide adequate pay,give freedom to do their work without disturbances,To gain as much as experience as possible.   To perform lots of cases. Do more courses aiding to my professional development. Obtain certificates in the field and finally PhD.
Staff shortage,Too much work,Underpaid,Overworked,Increase salary,Decrease workload,Pivot out of fertility industry
No flexible timing,Interaction between gynaecologist and embryologist,No acknowledgement from the patients,No proper recognition,Flexible timing,Acknowledgement,To open a research centre and a ivf lab
Too much work,Short staffed,Not enough staff for workload,Underpaid,Hire more staff,Provide proper training,Stay employed at current employer until retirement
Equipments issues,Poor knowledge of patients,Less opportunity,Poor knowledge of people on ART,Good laboratory sectors,Quality staffing and improving knowledge of ART among people,To open a own fertility sector.
Timing,Trust,Result oriented,Timing,Time management,Organised,Shine in career
Short staffing,Work load,Short staffing,Pay,More support from management in regards to work load and staffing,Increased pay,Maintain a career as a successful embryologist
Too few staff,Daily burntout,Weekend work is exhausting. No extra pay,Dr controlling the lab,Additional staff,Minute of certain working hours per week,To be a lab manager
A,B,A,B,A,B,A
increase in work load,lack of staffs,lack of more training center for study,increase in work load,provision of more training centers for embryology study,introduction of more staffs,TO become a clinical embryologist in time to come
underappreciation,inner lab politics,stress,multiple tasking,adding admins to the team to take care of the paper work and reports and let the embryologists focus on lab work,clear career/training path,Money :)
Undermining the competence level of the embryologist by the clinician,Embryologist are not involved in decisions making with regards to the client preparation,We have no regulations body for embryologists in my count,The gynecologist doesn’t respect the embryo since all the  ivf centers are private owned,The involvement in the day activities with regards to the patient preparation for the procedure,Regular training to improve the efficiency and effectiveness of the embryologist in the country,An outstanding fertility specialist
Work overload,Low salary,Work overload,Insufficient vacation time,Proper planning of cases and effective communication.,Good pay for work done,Become the laboratory director and quality control director of an embryology laboratory. Be a National decision maker in ART.
Workload,Staffing,Workload,Staffing,More practical training programs,Greater advertisement at unis about the embryology career,Be a successful Embryologist
Burn out from stress/lack of support,Equipment supplies.,Appropriate renumeration -Recognition of the pressures of the role.,Not enough acknowledgment that experience is just as relevant (if not more so) than a grad degree.,Better/reliable equipment and having stock available.,Better mental health support and recognition - better renumeration,Keep working
High pressure environment,Some isolation from the rest of the clinical team,Very few embryologists,Very few job vacancies,Better compensation for weekend work,Increased patient interaction,To have a job that is rewarding and mentally stimulating.
Pay,Being the last to be considered after doctors/nurses/patients when it comes to scheduling procedures.,Pay,Conditions (overtime etc),Pay more,Think of the embryologist  when scheduling procedures e.g. Don't have an early cryo transfer and a late OPU because it suits the doctors private practice when an embryologist may have to get in at the crack of dawn and stay well beyond scheduled work hours.,To retire as early as possible
Staffing,Pay,Pay,More embryology specific conferences,Improve pay scales based on experience,One global accreditation & registration to be recognized & registered in any country to work as an embryologist,To do a doctorate degree in ART
High workloads,Working too many weekends,Having enough staff & retaining staff,Ability to train staff in a timely and consistent manner,More staff/workload ratio,Regular updating of standard work protocols to keep consistent practices and make it easier to train new staff members,2IC or lab manager
Staffing,Poor Equipment/lab conditions,Staffing,Ethics,Training plans by a quality co coordinator,Improved Lab maintenance/equipment,Stem cell research/ conservation/de extinction embryology
Burn out,Mental health fatigue,Seniors facing high level of burn out being forced to quit so leaving illexperienced staff in place,No career progression,Manage staffing levels appropriately to cope with daily pressures,Reduce admin of lab staff,Be happy in my career again.  And to work in a more research facing role. Developing the efficiency of the lab.
Stress,Workload,Finding good staff,Stress,Adequate staffing,Communication,Senior Embryologist
over work,poorly paid,recognition,remuneration,appropriately staffed,recognition,have achieved
Clinical pressure,Patient communication,Recognition,Certification,Ownership of career path,Engagement,More clinical research
Emotional stress,Work hours,Rapidly changing technologies,Differing methods and protocols,Professional recognition and pay scale according to skills,Better understanding of the day to day role by clinicians and management,"Uncertain. I enjoy doing actual lab work, any higher positions seem to be primarily paperwork roles which is not my preference, except for the career recognition and salary involved."
stress,burn out,senior retiring/leaving the field/loss of knowledge,time to train new embryologists,enough staff so embryologists can take lunch breaks,professional supervision,To improve the quality and safety in laboratories for the outcome of patients
sufficient staffing,appropriate staff / workload expectations,appropriate staff to workload expectations,sufficient staffing,good professional relationship between all members of fertility team,support for routine training position in lab,continue in role
Getting appropriate training,Burnout,Career progression,Burnout,Closer attention to number of hours worked per day and concurrent days worked,Appropriate access to leave to reduce burnout,Scientific director
Distraction,Work load,Limited workplaces in my country,Limited career progression in my country,Less weekend work,More fat in the system to cover sick leave/annual leave,"Don't have one currently, considering retraining"
time management,patient expectations,price for the general public,keeping up with new technology,OH&S for neck and shoulders,more staff,keep working for another 10 years
Lots of Time pressure & poor life work balance,Low Salary for the profession,High job pressure & low income,Lack of clear structure for Embryologists & low access for academic development of Embryologists,Ease of work pressure by taking away many side works including paper  works,Paying comparable salary for the profession,Get experienced to senior level and continue growing.
Lack of appreciation,Lack of career development,Low salary,Poor education/development l,Eradicate toxic/ego/uneducated “boomers”,Leadership requirements/training  for managers,Change profession
Staffing shortages,Companies motivated by profit,Companies motivated by profit,Skill shortage,Staffing levels on par with guidelines,Windows,To become a senior embryologist
Low salary,Overworked,High pressure,Competitiveness for employment,More standardised training,Balanced workload,PhD in ART related topic
Difficulty in recruiting trained embryologists,Overwork as short staffed,Lack of recognition of scientists vs clinicians who have all the power,Retention of trained embryologists,Staffing limits vs cycle numbers,Changed model for patient recruitment in Australia. Currently Dr driven.,I have achieved my career goal and enjoy my job
Low income profession,Work related stress,overcoming age related infertility,"Clinics money is priority even when bankrupting patients, encouraging patients to take out loans and take money out of their superannuation to pay for treatment",Working 4 day week,Capping case numbers,To be a scientific director
Lack of staff,Lack of training guidelines,Sharing new research and applying it,Educating the public,More communication between different companies within the Ivf field,A set training regime for embryologists,To complete my embryology traineeship and eventually become a lab supervisor
Stress dealing with some patients,Overworked,Overworked,Underpaid,Dedicated embryology admin staff,Even spread of workload across staff members,More managerial or research
understaff,lack of training,furthering careers,advanced age in the lab,...,...,...
Fatigue,Stress,Ethics,Fatigue,Better work life balance,Greater understanding of what we do/ realistic outcomes for patients,Team leader
Understaffing,Ergonomics,Recognition as a specialized role,Lack of succession planning,Less weekend work,More fully qualified staff,"To leave on my terms,  not due to a mistake caused by tiredness/overwork"
Working outside normal hours,Stress,Staffing levels,Competency,Specify number of staff per cycle number,Change expectations,Be part of a well oiled embryology team
High stress job,Being undervalued/underpaid compared to doctors,Lack of opportunity to advancement/career development (imbalance of number of junior people compared to number of senior positions likely to be available in the future),High stress job,Support for stress,Improved salary,Combine research with clinical embryology
Technical training,Couseling for patient,To obtain higher degree,To learn clinical practice,Salary,Working engagiment time,To maintein my usual life and to improve the IVF outcome
Training,Workload,Understaffing,Introduction of IT and AI,Better training,More embryologists,PhD in Artificial Intelligence and software development for labs.
Toxic work environment,In adequate pay scale,Work life balance,Underrated,Give adequate recognisation and salary,"Give benefits like PF, HRA, paid leaves like other corporate fields has",To be the able to help as many people as possible ..  (Couples who are infertile and students who want to follow the profession)
"Sometimes, lack of coordination within the Embryologist team ","Lack of coordination among other departments due to lethargic behaviour of other staffs, clinician dominance",Lack of transparency in some places..,"Rising rules of Embryology certification needed for practising, Life science graduates facing problems.. ",Team should be good within Embryology and among other departments,"Should not dominate juniors ,let them learn .",Need to practice Embryology ethically with conscience and make  good difference in other's lives.. Wanted to do Research work in Embryology..
Lack of more innovative equipment,Poor salarys when compared to the medical doctors,Lack of recognition,Poor salarys when compared to the medical doctors,-,-,Laboratory responsible
Expected to know all the answers (even for other departments eg medications and scanning dates),Multi task with zero room for error,Burn Out,Fear of Failure,Offices with windows and access to the outside!,Knowing it’s ok and being allowed to take a break,Do the best I can and help as many people as possible before I decide to leave the field
less equipment,low salary,no scholarship for student in the field to further,no access to research papers,give fundings to less priveledge embryologists for studies and research,make more journals accessible,to be able to improve human existence with assisted reproductive procedures
Doctors timing,Less hands on practice,No personal life,Working late,Good seniors,Doctors not being involved in lab work,To be certified Embryologist
Workload,Stress,Burn out,Disrespect,Better work-life balance,More staff,Ivf for endangered animal species
Retraining are expensive,Sponsorship for conference and scientific program not available,Knowledge updates are expensive,Programs are expensive to study further,Sponsored training and retraining,Research sponsored,To provide first class services to patients
Salary,Lesser hands on practice,Lesser practice,Lesser salary,Encourage them,Understanding team,Phd in reproductive medicine
Control by the clinicians,Work freedom,Can't get a plan holidays,Work family balance is critical,Flexible working time,Self respect,Director of my own fertility centre
Staffing levels,Micro management,Staffing levels,Micromanagement,More staff,Logic,To get everyone pregnant
Time,More embryologists,Pay scale,More embryologists,More embryologists,Better facilities,Move up corporate ladder to train etc
personal growth,central future,personal inner motivation,hobbies and interest,gradation in work,accountability,master of clinical embryologist
Verification of identity and managing unnecessary paperwork,Workload management in office hours.,Fair treatment by seniors,Low income and underestimated potential.,Fair rotation and evaluation criteria,More salary and encouragement to excel in the work place,To be topnotch Embryologist who knows philosophy of his work and do whats best for each individual case.
Embryo decisions,Delivering bad news,Delivering bad news,Needing staff 7 days a week,Fair rostering,Good chairs,Senior embryologist
Overworking for long periods,Training opportunities,Overworking,Opportunities to network,More money as motivation,Opportunities to go for conferences yearly,To write abstract and a paper every year and lead a team in research
Organisation,Speed manipulation,Minimized error manipulation,Stress gestion,Motivation,Number or embrylogist staff,Perfection/satisfaction
Work overload,Teamwork,Training,Salaries,Guidelines and regulations and legislation,Union or society or organization,HCLD
Shortage of time to perform additional duties along with clinical work,Shortage of embryologists,Under representation means that our voice is not as strong as some other professions such as nursing,Complex regulatory frameworks,Create more training positions,Create a union to give embryologists support and a voice,"Tk be head of embryology but also be able to actively carry out service development, research etc while having a good work life balance"
Working on weekends,Dealing with patients and procedures together,Working on weekend and holidays,All procedures are critical and must be done by the end of the day,Extra resting day,Less burocracy,Work fewer on weekends and move towards clinical research
give best results in every month,to convene clinicians,shortage of skilled professionals,lack of proper hands on training,clinicians should take suggestions before take final decision,by recognising role of embryologist in IVF treatment,to maintain high success rates
Financial burden,Long working hours,Less recognition by the world,Underlooked,Rotational staff so long hours are not required,Better benefits to encourage passion of work.,To get a PhD in reproductive biology.
"No proper and systematic training , relay on senior training and ongoing self study",Inconsistency between the information given by clinician and embryologist,Stressful on the treatment outcomes,Working overtime,Implementation of time lapse or AI,Reduce the workload on paper work,Continue with master programs and become an competent embryologist who able answer the doubt of patient
Work over time and on holidays,Less pay,Less pay,Wor over time,Pay high,Schedule cases accordingly,No goal at the moment
Cannot participate in making desicions regarding the embryos,Being unmotivated bythe cliniciana,"Being look down by the clinician, as we are not competence to make decision for the patients",Clinician not supportive,Make embryologist profession being recognized worldwide,Embryologist is the head of the embryo lab,Cheif embryologist
Communication between clinicians and embryologists,Schedules,Training,Schedules,Better payments,More recognition,Laboratory director
Lack of autonomy,Time to rest,Not recognized profession in Brazil,Training is very expensive,Regulamentation of our profession,Management of cycles to give us some rest time,To work on a laboratory that provides me better quality of life and help me to keep studying
Dominance of clinicians,Low remuneration,Dominance of clinicians,Low remuneration and hectic work timings,No dominance of clinicians,Better remuneration,To be lab director and renowned embryologist
Paperwork,Workload,Less salary,Too many cases held in a day,Other units have to considerate with embryologist work,Embryologist should focus on the work lab only,Improve skills and getting more pregnancy outcomes with healthy life birth
